"","trial_id","node3","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","n","prop","pgroup","Actual","A","B","E","include"
"52","1_d4","B=0",0.270477413887399,0.28055742256302,0.325380343030302,0.408275325438186,0.359658523715511,0.388923872505824,0.451770415377542,0.299264841776417,26,0.276595744680851,1,TRUE,1,0,0,TRUE
"53","1_d4","Bu=0",0.0904243096316779,0.0972576605802828,0.114749209608671,0.103989545949327,0.145037835404611,0.0901704622881136,0.173809859778905,0.155090365508235,4,0.0425531914893617,1,TRUE,1,0,0,TRUE
"54","1_d4","Bu=1",0.0627425051973571,0.0522046966438777,0.0836846622793906,0.0264866010581002,0.0875521340989368,0.0901704622881136,0.066869955021549,0.155090365508235,0,0,1,FALSE,1,0,0,TRUE
"55","1_d5","A=1",0.537309468486881,0.537422335320043,0.48922887013684,0.442576291357424,0.500340423478895,0.388923872505824,0.50586787807913,0.299264841776417,10,0.0869565217391304,1,TRUE,1,0,1,TRUE
"56","1_d5","Au=0",0.0509085728753978,0.0550493405747591,0.0736360594437558,0.0287118543212879,0.0309115067275788,0.0209056652060626,0.0748773295075742,0.155090365508235,1,0.00869565217391304,1,FALSE,1,0,1,TRUE
"57","1_d5","Au=1",0.259056240011528,0.265442590893563,0.216226892088137,0.442576291357424,0.245630892957843,0.388923872505824,0.194622803890573,0.155090365508235,94,0.817391304347826,1,TRUE,1,0,1,TRUE
"58","1_d5","B=0",0.0509085728753978,0.0311163096054124,0.0736360594437558,0.0287118543212879,0.0293215470464221,0.0209056652060626,0.0748773295075742,0.0803736961906411,7,0.0608695652173913,1,FALSE,1,0,1,TRUE
"59","1_d5","Bu=0",0.0509085728753978,0.0492640937061819,0.0736360594437558,0.0287118543212879,0.0728048382818254,0.0901704622881136,0.0748773295075742,0.155090365508235,1,0.00869565217391304,1,FALSE,1,0,1,TRUE
"60","1_d5","Bu=1",0.0509085728753978,0.0617053299000407,0.0736360594437558,0.0287118543212879,0.120990791507436,0.0901704622881136,0.0748773295075742,0.155090365508235,2,0.0173913043478261,1,FALSE,1,0,1,TRUE
"61","1_d6","A=1",0.048949555272373,0.0346192876651911,0.1106153067703,0.0287118543212879,0.0547424745323818,0.0242674212189303,0.108714038479448,0.102896921135167,3,0.0280373831775701,1,FALSE,1,1,0,TRUE
