"","X","A","uAuB","Au","B","Bu","E.x","E.y","pA","peA","pB","peB","Pr","PrUn","index","structure","posterior","groupPost","pgroup","trialtype","node","cesm","node2","node3"
"198",482,0,"01",0,0,1,0,0,0.5,0.9,0.5,0.8,0.18,0.72,2,"disjunctive",0.72,1,"2","d1","Au=0",0.060949791567803,"Au","Au=0"
"199",482,0,"01",0,0,1,0,0,0.5,0.9,0.5,0.8,0.18,0.72,2,"disjunctive",0.72,1,"2","d1","B",0.949755779595053,"B","B=0"
"200",482,0,"01",0,0,1,0,0,0.5,0.9,0.5,0.8,0.18,0.72,2,"disjunctive",0.72,1,"2","d1","Bu=1",-0.100570360772188,"Bu","Bu=1"
"201",483,0,"10",1,0,0,0,0,0.5,0.1,0.5,0.2,0.005,0.02,3,"disjunctive",0.02,1,"2","d1","A",0.72282717094627,"A","A=0"
"202",483,0,"10",1,0,0,0,0,0.5,0.1,0.5,0.2,0.005,0.02,3,"disjunctive",0.02,1,"2","d1","Au=1",-0.184233806805912,"Au","Au=1"
"203",483,0,"10",1,0,0,0,0,0.5,0.1,0.5,0.2,0.005,0.02,3,"disjunctive",0.02,1,"2","d1","B",0.21764267248908,"B","B=0"
"204",483,0,"10",1,0,0,0,0,0.5,0.1,0.5,0.2,0.005,0.02,3,"disjunctive",0.02,1,"2","d1","Bu=0",0.162343541906784,"Bu","Bu=0"
"205",484,0,"11",1,0,1,0,0,0.5,0.1,0.5,0.8,0.02,0.08,4,"disjunctive",0.08,1,"2","d1","A",0.52817234107508,"A","A=0"
"206",484,0,"11",1,0,1,0,0,0.5,0.1,0.5,0.8,0.02,0.08,4,"disjunctive",0.08,1,"2","d1","Au=1",-0.13555877124434,"Au","Au=1"
"207",484,0,"11",1,0,1,0,0,0.5,0.1,0.5,0.8,0.02,0.08,4,"disjunctive",0.08,1,"2","d1","B",0.703900331699271,"B","B=0"
"208",484,0,"11",1,0,1,0,0,0.5,0.1,0.5,0.8,0.02,0.08,4,"disjunctive",0.08,1,"2","d1","Bu=1",-0.0773510487736851,"Bu","Bu=1"
"209",485,0,"00",0,1,0,0,0,0.5,0.9,0.5,0.2,0.045,0.18,5,"disjunctive",0.9,2,"2","d2","A",0.0201815568535794,"A","A=0"
"210",485,0,"00",0,1,0,0,0,0.5,0.9,0.5,0.2,0.045,0.18,5,"disjunctive",0.9,2,"2","d2","Au=0",0.0492810810785921,"Au","Au=0"
"211",485,0,"00",0,1,0,0,0,0.5,0.9,0.5,0.2,0.045,0.18,5,"disjunctive",0.9,2,"2","d2","B",-0.210326903775763,"B","B=1"
"212",485,0,"00",0,1,0,0,0,0.5,0.9,0.5,0.2,0.045,0.18,5,"disjunctive",0.9,2,"2","d2","Bu=0",0.890828223092872,"Bu","Bu=0"
"213",486,0,"00",0,1,0,1,0,0.5,0.9,0.5,0.2,0.045,0.18,6,"disjunctive",0,3,"2","d3","A",-0.0207674691166954,"A","A=0"
"214",486,0,"00",0,1,0,1,0,0.5,0.9,0.5,0.2,0.045,0.18,6,"disjunctive",0,3,"2","d3","Au=0",-0.0501885754590872,"Au","Au=0"
"215",486,0,"00",0,1,0,1,0,0.5,0.9,0.5,0.2,0.045,0.18,6,"disjunctive",0,3,"2","d3","B",0.210539446816922,"B","B=1"
"216",486,0,"00",0,1,0,1,0,0.5,0.9,0.5,0.2,0.045,0.18,6,"disjunctive",0,3,"2","d3","Bu=0",-0.890253840187945,"Bu","Bu=0"
"217",487,0,"01",0,1,1,0,1,0.5,0.9,0.5,0.8,0.18,0.72,7,"disjunctive",0,2,"2","d2","A",0.0076601075814617,"A","A=0"
"218",487,0,"01",0,1,1,0,1,0.5,0.9,0.5,0.8,0.18,0.72,7,"disjunctive",0,2,"2","d2","Au=0",0.0120864450386276,"Au","Au=0"
"219",487,0,"01",0,1,1,0,1,0.5,0.9,0.5,0.8,0.18,0.72,7,"disjunctive",0,2,"2","d2","B",-0.835175971234952,"B","B=1"
"220",487,0,"01",0,1,1,0,1,0.5,0.9,0.5,0.8,0.18,0.72,7,"disjunctive",0,2,"2","d2","Bu=1",-0.502600617541041,"Bu","Bu=1"
"221",488,0,"01",0,1,1,1,1,0.5,0.9,0.5,0.8,0.18,0.72,8,"disjunctive",0.9,3,"2","d3","A",-0.00594382029712572,"A","A=0"
"222",488,0,"01",0,1,1,1,1,0.5,0.9,0.5,0.8,0.18,0.72,8,"disjunctive",0.9,3,"2","d3","Au=0",-0.0124281152989063,"Au","Au=0"
"223",488,0,"01",0,1,1,1,1,0.5,0.9,0.5,0.8,0.18,0.72,8,"disjunctive",0.9,3,"2","d3","B",0.834976402964678,"B","B=1"
"224",488,0,"01",0,1,1,1,1,0.5,0.9,0.5,0.8,0.18,0.72,8,"disjunctive",0.9,3,"2","d3","Bu=1",0.503253215983593,"Bu","Bu=1"
"225",489,0,"10",1,1,0,0,0,0.5,0.1,0.5,0.2,0.005,0.02,9,"disjunctive",0.1,2,"2","d2","A",0.456822172581082,"A","A=0"
"226",489,0,"10",1,1,0,0,0,0.5,0.1,0.5,0.2,0.005,0.02,9,"disjunctive",0.1,2,"2","d2","Au=1",-0.115219525471551,"Au","Au=1"
