"","trial_id","pgroup","trialtype","node3","n","prop","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","Actual"
"257","3_d4","3","d4","A=0",1,0.010989010989011,0,0,0,NA,0,NA,NA,NA,NA
"258","3_d4","3","d4","A=1",5,0.0549450549450549,0,-0.195641154274036,0,0,-0.604231406781785,0,0,0,FALSE
"259","3_d4","3","d4","Au=0",58,0.637362637362637,0.623496249018715,0.623496249018715,0.187048874705615,1,0.187048874705615,1,0.3,0.3,TRUE
"260","3_d4","3","d4","Au=1",3,0.032967032967033,0,0,0,0,-0.282635328444816,0,0,0.7,FALSE
"261","3_d4","3","d4","B=0",19,0.208791208791209,0.397142676078666,0.397142676078666,0.231549556039629,1,0.231549556039629,1,1,1,TRUE
"262","3_d4","3","d4","B=1",0,0,0,0,0,NA,0,NA,NA,NA,NA
"263","3_d4","3","d4","Bu=0",5,0.0549450549450549,0.094220447231143,0.094220447231143,0.049662346914905,0.5,0.049662346914905,0.5,0.5,0.5,TRUE
"264","3_d4","3","d4","Bu=1",0,0,0,-0.076792296126981,0,0,-0.0460918969238323,0.5,0,0.5,FALSE
"265","3_d5","3","d5","A=0",0,0,0,0,0,NA,0,NA,NA,NA,NA
"266","3_d5","3","d5","A=1",16,0.207792207792208,0.779181206661025,0.779181206661025,0.603771148596571,1,0.603771148596571,1,1,1,TRUE
"267","3_d5","3","d5","Au=0",0,0,0,0,0,0,-0.186395655646449,0,0,0.3,FALSE
"268","3_d5","3","d5","Au=1",57,0.74025974025974,0.40392527656642,0.40392527656642,0.282747693596494,1,0.282747693596494,1,0.7,0.7,TRUE
"269","3_d5","3","d5","B=0",3,0.038961038961039,0,-0.160154108041993,0,0,-0.231691602560552,0,0,0,FALSE
"270","3_d5","3","d5","B=1",1,0.012987012987013,0,0,0,NA,0,NA,NA,NA,NA
"271","3_d5","3","d5","Bu=0",0,0,0,-0.0307843361602514,0,0,-0.0497768673445989,0.5,0,0.5,FALSE
"272","3_d5","3","d5","Bu=1",0,0,0,0.0335047715522296,0,0,0.0467394305286441,0.5,0,0.5,FALSE
"273","3_d6","3","d6","A=0",2,0.0217391304347826,0,0,0,NA,0,NA,NA,NA,NA
"274","3_d6","3","d6","A=1",6,0.0652173913043478,0,-0.179048731088187,0,0,-0.414726572782023,0,0,0,FALSE
"275","3_d6","3","d6","Au=0",31,0.33695652173913,0.573589113634616,0.573589113634616,0.109899895014656,1,0.109899895014656,1,0.3,0.3,TRUE
"276","3_d6","3","d6","Au=1",4,0.0434782608695652,0,0,0,0,-0.197009666902078,0,0,0.7,FALSE
"277","3_d6","3","d6","B=0",2,0.0217391304347826,0,0,0,NA,0,NA,NA,NA,NA
"278","3_d6","3","d6","B=1",2,0.0217391304347826,0,-0.0668754099158943,0,0,-0.182436331530323,0,0,0,FALSE
