"","subject_id","cb","prob0","prob1","prob2","prob3","structure","trialtype","ans","ansVar","ansVar2","node3","isPerm","isCoh","pgroup","isLat","realLat","connectedWith"
"977","mdw6h0o487",0,"10%","70%","80%","50%","disjunctive","d7",1,"A","A","A=1",TRUE,TRUE,"3",FALSE,FALSE,"A"
"978","mdw6h0o487",0,"10%","50%","80%","50%","disjunctive","d6",5,"B","B","B=1",FALSE,TRUE,"1",FALSE,FALSE,"B"
"979","mmgq1v5fa6",0,"50%","10%","50%","80%","conjunctive","c1",2,"A","A","A=0",TRUE,TRUE,"2",FALSE,FALSE,"A"
"980","mmgq1v5fa6",0,"10%","70%","80%","50%","disjunctive","d7",5,"B","B","B=1",TRUE,TRUE,"3",FALSE,FALSE,"B"
"981","mmgq1v5fa6",0,"10%","50%","80%","50%","disjunctive","d1",2,"A","A","A=0",TRUE,TRUE,"1",FALSE,FALSE,"A"
"982","mmgq1v5fa6",0,"10%","70%","80%","50%","conjunctive","c5",1,"A","A","A=1",TRUE,TRUE,"3",FALSE,FALSE,"A"
"983","mmgq1v5fa6",0,"10%","50%","80%","50%","disjunctive","d2",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"1",TRUE,FALSE,"B"
"984","mmgq1v5fa6",0,"10%","70%","80%","50%","conjunctive","c4",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"3",TRUE,TRUE,"B"
"985","mmgq1v5fa6",0,"10%","50%","80%","50%","disjunctive","d5",1,"A","A","A=1",TRUE,TRUE,"1",FALSE,FALSE,"A"
"986","mmgq1v5fa6",0,"10%","50%","80%","50%","conjunctive","c3",4,"Au","Au=0","Au=0",TRUE,TRUE,"1",TRUE,TRUE,"A"
"987","mou29fwrf1",0,"10%","70%","80%","50%","disjunctive","d6",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"3",TRUE,FALSE,"B"
"988","mou29fwrf1",0,"10%","70%","80%","50%","disjunctive","d4",4,"Au","Au=0","Au=0",TRUE,TRUE,"3",TRUE,FALSE,"A"
