"","A","Au","B","Bu","E.x","E.y","pA","peA","pB","peB","Pr","PrUn","index","structure","posterior","groupPost","pgroup","mA","mAu","mB","mBu","cfsA","cfaAu","cfsB","cfsBu","Sum","run"
"57",0,1,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,9,"disjunctive",0.5,2,1,0.331466779953947,-0.0229232864205747,-0.0953258702811127,0.885667020216085,3062,14936,6038,15245,83487,2
"58",0,1,1,0,1,0,0.9,0.5,0.8,0.5,0.18,0.25,10,"disjunctive",0,3,1,-0.343472208795435,0.0216403453821263,0.0945348889831009,-0.882915822241741,3049,15103,6022,15133,16428,2
"59",0,1,1,1,0,1,0.9,0.5,0.8,0.5,0.18,0.25,11,"disjunctive",0,2,1,0.0743601739247607,-0.00542776211527648,-0.49186878995028,-0.826468173379476,2959,15087,5918,15096,19612,2
"60",0,1,1,1,1,1,0.9,0.5,0.8,0.5,0.18,0.25,12,"disjunctive",0.5,3,1,-0.0713403534417956,0.00745096625037346,0.490598116006113,0.829457570502978,2980,15023,5913,15226,80329,2
"61",1,0,0,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,13,"disjunctive",0.5,4,1,-0.184513769765693,0.714563275047023,0.168236637759931,0.22612885798407,27001,14874,24148,15043,85842,2
"62",1,0,0,0,1,0,0.1,0.5,0.2,0.5,0.005,0.25,14,"disjunctive",0,5,1,0.183634342758583,-0.717336510757604,-0.167739897571495,-0.220386556620945,27133,15031,23759,15138,14201,2
"63",1,0,0,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,15,"disjunctive",0.5,4,1,-0.118471250371608,0.462488104350683,0.710964655517397,-0.162632048530137,27001,15193,24071,14924,70596,2
"64",1,0,0,1,1,0,0.1,0.5,0.2,0.5,0.005,0.25,16,"disjunctive",0,5,1,0.114247358630753,-0.448307165005499,-0.710382729624559,0.170515721431941,27067,14939,23824,14959,28947,2
"65",1,1,0,0,0,1,0.1,0.5,0.2,0.5,0.005,0.25,17,"disjunctive",0,4,1,-0.759700741884318,-0.519513927072689,0.0491273427367084,0.0670051551004825,27134,14912,23910,15035,36550,2
"66",1,1,0,0,1,1,0.1,0.5,0.2,0.5,0.005,0.25,18,"disjunctive",0.5,5,1,0.755696732759852,0.520153617549195,-0.0504223362083599,-0.0679489980530651,27171,14967,23940,15000,63304,2
"67",1,1,0,1,0,1,0.1,0.5,0.2,0.5,0.005,0.25,19,"disjunctive",0,4,1,-0.658052475011167,-0.450622318923713,0.302889610622916,-0.0691291531425074,27351,15170,23985,14848,30630,2
"68",1,1,0,1,1,1,0.1,0.5,0.2,0.5,0.005,0.25,20,"disjunctive",0.5,5,1,0.652428231167668,0.448787666638071,-0.301949661008487,0.0674937177657134,26892,15092,24307,15200,69935,2
"69",1,0,1,0,0,0,0.1,0.5,0.8,0.5,0.02,0.25,21,"disjunctive",1,6,1,-0.133680168389158,0.529527989203625,-0.074144770411663,0.705442659587311,26994,14981,5941,14891,76665,2
"70",1,0,1,0,1,0,0.1,0.5,0.8,0.5,0.02,0.25,22,"disjunctive",0,7,1,0.134164694953908,-0.529675464289027,0.0722160642293879,-0.704638675546737,26802,15000,5996,15014,23518,2
"71",1,0,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,23,"disjunctive",0,6,1,-0.0387881802286087,0.139142049106946,-0.468850448391978,-0.781691806054526,26941,15091,6055,15133,18111,2
"72",1,0,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,24,"disjunctive",0.333333333333333,7,1,0.0287713251404719,-0.136651839745822,0.476108371146525,0.775107835532634,26948,14995,6182,15034,81961,2
"73",1,1,1,0,0,1,0.1,0.5,0.8,0.5,0.02,0.25,25,"disjunctive",0,6,1,-0.695200900177405,-0.476993094604302,-0.0352089839321028,0.271540907123213,26973,14937,6112,15133,32462,2
"74",1,1,1,0,1,1,0.1,0.5,0.8,0.5,0.02,0.25,26,"disjunctive",0.333333333333333,7,1,0.68873624035713,0.48395407530717,0.0291935816556407,-0.269849955350309,26894,15087,6051,14925,67446,2
"75",1,1,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,27,"disjunctive",0,6,1,-0.28972589041054,-0.200683767218667,-0.289916736585502,-0.485797302851685,27014,15140,6091,15122,7838,2
"76",1,1,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,28,"disjunctive",0.333333333333333,7,1,0.284260044476714,0.199494089770427,0.291341638442082,0.479811597677887,27086,14820,6101,14861,92322,2
"77",0,0,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"conjunctive",0.25,1,1,0.0645495323463568,0.0271657438355936,0.0202304454904989,0.0271988553776859,3026,14979,24109,14948,99987,2
"78",0,0,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,2,"conjunctive",0.25,1,1,0.174296279102974,0.0722820119773414,0.0539957083494008,-0.0126961122956654,2942,14984,24003,14897,99908,2
"79",0,1,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,3,"conjunctive",0.25,1,1,0.172285372306221,-0.0128285277024512,0.0542082013757281,0.0723047171871913,3009,15162,23860,14976,99908,2
"80",0,1,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,4,"conjunctive",0.25,1,1,0.409439347020667,-0.0296028542956306,0.126089868269284,-0.0297129629395329,2916,14824,24053,14918,99499,2
"81",0,0,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,5,"conjunctive",0.25,2,1,0.163550121602351,0.0684617322491202,-0.00727004423535215,0.0685206803962612,3012,15055,5982,15033,99917,2
"82",0,0,1,1,0,0,0.9,0.5,0.8,0.5,0.18,0.25,6,"conjunctive",0.25,2,1,0.32925287828284,0.138752721206314,-0.0147344973151013,-0.0245453046220528,3051,15053,5983,15009,99660,2
"83",0,1,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,7,"conjunctive",0.25,2,1,0.329939728252173,-0.0243715288355581,-0.0148105764529389,0.139443190330775,3030,14866,6058,14889,99661,2
"84",0,1,1,1,0,0,0.9,0.5,0.8,0.5,0.18,0.25,8,"conjunctive",0.25,2,1,0.81958088108438,-0.0602753953406112,-0.0362842215542532,-0.0606788816528159,2972,15008,6014,15179,97984,2
"85",1,0,0,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,9,"conjunctive",0.25,3,1,-0.0381906327955231,0.14915892416887,0.112033429063839,0.148577675844867,27040,15030,23870,15130,99608,2
"86",1,0,0,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,10,"conjunctive",0.25,3,1,-0.0934827929843395,0.364710976183089,0.272931805561064,-0.0639690022389001,27125,15003,23965,14842,97706,2
"87",1,1,0,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,11,"conjunctive",0.25,3,1,-0.0919464080714595,-0.0636372512606125,0.268659687755668,0.360343155871276,26979,15037,24071,14982,97763,2
"88",1,1,0,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,12,"conjunctive",0.25,3,1,-0.231790652302825,-0.160881567588865,0.680314749181012,-0.160811847383992,26684,14918,24182,14907,87137,2
"89",1,0,1,0,0,0,0.1,0.5,0.8,0.5,0.02,0.25,13,"conjunctive",0.333333333333333,4,1,-0.0761353115650255,0.296205586062401,-0.0313608190263659,0.295483897387337,27382,14909,6013,14971,98486,2
"90",1,0,1,0,1,0,0.1,0.5,0.8,0.5,0.02,0.25,14,"conjunctive",0,5,1,0.0770558396080193,-0.302064506045836,0.0321266387825615,-0.304021132047693,26924,15011,6019,14847,1586,2
"91",1,0,1,1,0,0,0.1,0.5,0.8,0.5,0.02,0.25,15,"conjunctive",0.333333333333333,4,1,-0.188735068910238,0.735958043030791,-0.0792760375699297,-0.130846985015258,26877,15177,6090,15014,91165,2
"92",1,0,1,1,1,0,0.1,0.5,0.8,0.5,0.02,0.25,16,"conjunctive",0,5,1,0.188374433872117,-0.736617265634816,0.0780926713226166,0.130072830346649,27040,14999,5988,15017,8738,2
"93",1,1,1,0,0,0,0.1,0.5,0.8,0.5,0.02,0.25,17,"conjunctive",0.333333333333333,4,1,-0.189376788907396,-0.12993987478319,-0.0790364873543303,0.736688476501029,27099,14894,6081,15094,91201,2
"94",1,1,1,0,1,0,0.1,0.5,0.8,0.5,0.02,0.25,18,"conjunctive",0,5,1,0.187755112896437,0.129557298574917,0.0784163897103196,-0.736351675633237,26977,14959,6054,14965,8711,2
"95",1,1,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,19,"conjunctive",0,4,1,-0.5997097299116,-0.415893024303518,-0.248791306787318,-0.41732476797179,26893,15032,5954,15120,50564,2
"96",1,1,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,20,"conjunctive",1,5,1,0.60424986651787,0.414593061476567,0.251194556567363,0.417576062774299,26997,14828,6007,15010,49681,2
"97",0,0,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"disjunctive",0.25,1,1,0.122801544181027,0.053016997617021,0.326900018757767,0.433942110655598,2951,15015,23958,15100,95978,3
"98",0,0,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,2,"disjunctive",0.25,1,1,0.0496041827389798,0.0227988846099586,0.888044394800198,-0.212972354229659,2987,15017,24081,15248,79284,3
"99",0,1,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,3,"disjunctive",0.25,1,1,0.583818481396463,-0.0429549309402951,0.261459812320469,0.349415751849525,2953,14892,24013,14990,93978,3
"100",0,1,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,4,"disjunctive",0.25,1,1,0.271405119759421,-0.0216331441144131,0.849471142983575,-0.201473023466297,2935,14935,24077,15151,77572,3
"101",0,0,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,5,"disjunctive",0.5,2,1,0.0666622855480764,0.0277164100567739,-0.0997535189133344,0.946859513178982,3003,15072,5970,14939,85597,3
"102",0,0,1,0,1,0,0.9,0.5,0.8,0.5,0.18,0.25,6,"disjunctive",0,3,1,-0.0606177184878388,-0.0247924447965382,0.102275343465333,-0.948412695068437,2999,15130,6107,15170,14577,3
"103",0,0,1,1,0,1,0.9,0.5,0.8,0.5,0.18,0.25,7,"disjunctive",0,2,1,0.00942936232655648,0.00610174815048914,-0.500752402623464,-0.838398233148343,2984,14985,5965,15135,20048,3
"104",0,0,1,1,1,1,0.9,0.5,0.8,0.5,0.18,0.25,8,"disjunctive",0.5,3,1,-0.0133249178201836,-0.00714067451177931,0.50248947781399,0.83456939786482,3090,15146,5992,14981,79992,3
"105",0,1,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,9,"disjunctive",0.5,2,1,0.33215765061959,-0.0260024278107273,-0.0926001137641745,0.888925440852342,2883,14883,5997,14977,83836,3
"106",0,1,1,0,1,0,0.9,0.5,0.8,0.5,0.18,0.25,10,"disjunctive",0,3,1,-0.339356599769853,0.0268242081952439,0.092606009461369,-0.886653557222799,2993,15186,6000,14858,16183,3
"107",0,1,1,1,0,1,0.9,0.5,0.8,0.5,0.18,0.25,11,"disjunctive",0,2,1,0.0754615655795022,-0.00573289669896229,-0.497535601058788,-0.822461849210673,2939,14947,6045,14957,19595,3
"108",0,1,1,1,1,1,0.9,0.5,0.8,0.5,0.18,0.25,12,"disjunctive",0.5,3,1,-0.0714810472311991,0.00599035754709768,0.495239328626198,0.825428532144455,2883,14955,6054,15067,80261,3
"109",1,0,0,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,13,"disjunctive",0.5,4,1,-0.188045399610991,0.721158083193606,0.161457149340689,0.217756892876253,27177,15078,24102,14877,85806,3
"110",1,0,0,0,1,0,0.1,0.5,0.2,0.5,0.005,0.25,14,"disjunctive",0,5,1,0.181283362215283,-0.722784043596629,-0.161260379316007,-0.222179216350154,27081,14810,24182,14952,14037,3
"111",1,0,0,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,15,"disjunctive",0.5,4,1,-0.11394563409241,0.46084108618867,0.709255782457994,-0.164501448025354,26967,15070,23758,14856,70971,3
"112",1,0,0,1,1,0,0.1,0.5,0.2,0.5,0.005,0.25,16,"disjunctive",0,5,1,0.118374782542926,-0.456967581298453,-0.712187763020106,0.168800609015871,26991,15069,24369,14987,29350,3
"113",1,1,0,0,0,1,0.1,0.5,0.2,0.5,0.005,0.25,17,"disjunctive",0,4,1,-0.755668934313261,-0.5208529812413,0.0537638907029173,0.069055005281262,26839,14896,24020,15121,36395,3
"114",1,1,0,0,1,1,0.1,0.5,0.2,0.5,0.005,0.25,18,"disjunctive",0.5,5,1,0.755472064880817,0.521668883637801,-0.0544903298585772,-0.0700962883998961,27039,15041,23851,15210,63326,3
"115",1,1,0,1,0,1,0.1,0.5,0.2,0.5,0.005,0.25,19,"disjunctive",0,4,1,-0.65781960441189,-0.447649871548118,0.299932711691056,-0.0728126276722725,27212,14831,24130,15073,30156,3
"116",1,1,0,1,1,1,0.1,0.5,0.2,0.5,0.005,0.25,20,"disjunctive",0.5,5,1,0.653640499329021,0.450823477436175,-0.303041701102765,0.0730909406047039,27283,15054,24056,14868,69600,3
"117",1,0,1,0,0,0,0.1,0.5,0.8,0.5,0.02,0.25,21,"disjunctive",1,6,1,-0.131997710130795,0.530337638615839,-0.0749090691250491,0.706690480018289,26835,14934,5935,14819,76713,3
"118",1,0,1,0,1,0,0.1,0.5,0.8,0.5,0.02,0.25,22,"disjunctive",0,7,1,0.134250641561088,-0.523770274529048,0.0745375527406687,-0.707002095706051,26983,14993,5931,15017,23494,3
"119",1,0,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,23,"disjunctive",0,6,1,-0.0380428018655452,0.134496120064448,-0.472693769563407,-0.777117765606817,27014,15071,5923,14872,17745,3
"120",1,0,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,24,"disjunctive",0.333333333333333,7,1,0.0321417366617493,-0.137820527294779,0.46921517960323,0.780389932762319,27065,14955,6060,15123,81895,3
"121",1,1,1,0,0,1,0.1,0.5,0.8,0.5,0.02,0.25,25,"disjunctive",0,6,1,-0.690489379710508,-0.476095436121728,-0.0291575263169351,0.274649149511909,27309,14971,5963,15119,32671,3
"122",1,1,1,0,1,1,0.1,0.5,0.8,0.5,0.02,0.25,26,"disjunctive",0.333333333333333,7,1,0.694648232416937,0.47317063543973,0.0316997820218448,-0.270758654746274,27122,14922,6141,15065,67411,3
"123",1,1,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,27,"disjunctive",0,6,1,-0.286452706978495,-0.197395147715558,-0.286339900349235,-0.4802093340996,26875,14806,6038,14832,7569,3
"124",1,1,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,28,"disjunctive",0.333333333333333,7,1,0.285818868773087,0.201477201577133,0.29771573345438,0.479619602315187,27005,15030,5976,14944,92303,3
"125",0,0,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"conjunctive",0.25,1,1,0.0720928332687379,0.0300944348547507,0.0223207976154404,0.0301251299735131,2987,15016,24311,14990,99984,3
